Product type,SKU,Order_Date,Manufacturing_Date,Shipping_Date,Order_Year,Order_Quarter,Order_Month_Num,Order_Month_Name,Order_DayOfWeek,Price,Availability,Number of products sold,Unverified_Revenue_or_Profit,Customer demographics,Stock levels,Supplier_Lead_Time_Days,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Manufacturing_Lead_Time_Days,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect_Rate_Percentage,Transportation modes,Routes,Total_Operational_Costs,Expected_Revenue,Revenue_Diff_Abs,Revenue_Mismatch_Flag,Is_Backorder,Inspection_Original,Inspection_Was_Incorrect
skincare,SKU80,2023-09-28,2023-09-03,2023-09-30,2023,Q3,9,Sep,Thursday,91.12831835044432,75,872,8651.672682982065,Not_Specified,39,14,41,2,Carrier C,2.8331846794189746,Supplier 3,Chennai,8,202,5,76.96122802382001,Pending,2.85,Sea,Route B,787.7798504943445,79463.89,70812.22,True,False,Fail,True
haircare,SKU81,2024-03-31,2024-02-25,2024-04-05,2024,Q1,3,Mar,Sunday,72.81920693031822,9,774,4384.413400045863,Not_Specified,48,6,8,5,Carrier B,4.066277501512044,Supplier 3,Delhi,28,698,1,19.789592941903603,Pending,2.55,Rail,Route B,276.77833594679885,56362.07,51977.66,True,False,Pending,False
skincare,SKU82,2024-04-06,2024-03-08,2024-04-07,2024,Q2,4,Apr,Saturday,17.034930739467917,13,336,2943.3818676094515,Not_Specified,42,19,72,1,Carrier A,4.70818187354193,Supplier 2,Mumbai,6,955,26,4.46527843494324,Pending,4.14,Road,Route C,589.9785556280407,5723.74,2780.36,True,False,Pending,False
haircare,SKU83,2024-12-27,2024-11-12,2025-01-04,2024,Q4,12,Dec,Friday,68.91124621160633,82,663,2411.754632110491,Not_Specified,65,24,7,8,Carrier B,4.949839577996949,Supplier 1,Bangalore,20,443,5,97.73059380053304,Pass,0.77,Road,Route A,682.9710182260933,45688.16,43276.41,True,False,Fail,True
haircare,SKU84,2023-09-09,2023-07-20,2023-09-19,2023,Q3,9,Sep,Saturday,89.10436729210225,99,618,2048.2900998487103,Not_Specified,73,26,80,10,Carrier A,8.381615624922631,Supplier 5,Chennai,24,589,22,33.808636513209095,Pending,4.84,Air,Route B,465.457005963688,55066.5,53018.21,True,False,Pass,True
cosmetics,SKU85,2024-12-02,2024-11-08,2024-12-04,2024,Q4,12,Dec,Monday,76.96299441519388,83,25,8684.613059253858,Female,15,18,66,2,Carrier C,8.249168704871728,Supplier 5,Chennai,4,211,2,69.9293455186723,Pending,1.37,Road,Route B,842.6868300046415,1924.07,6760.54,True,False,Fail,True
skincare,SKU86,2023-10-23,2023-10-01,2023-10-29,2023,Q4,10,Oct,Monday,19.99817694040422,18,223,1229.5910285649834,Not_Specified,32,14,22,6,Carrier B,1.4543053101535517,Supplier 1,Mumbai,4,569,18,74.60896999519468,Pending,2.05,Rail,Route A,264.2548898358665,4459.59,3230.0,True,False,Pass,True
haircare,SKU87,2024-12-25,2024-11-17,2025-01-04,2024,Q4,12,Dec,Wednesday,80.41403665035574,24,79,5133.846701086692,Male,5,7,55,10,Carrier A,6.575803797548535,Supplier 3,Chennai,27,523,17,28.69699682414317,Pending,3.69,Sea,Route B,879.3592177349243,6352.71,1218.86,True,False,Fail,True
cosmetics,SKU88,2024-12-20,2024-11-09,2024-12-27,2024,Q4,12,Dec,Friday,75.27040697572501,58,737,9444.74203306298,Male,60,18,85,7,Carrier A,3.8012531329310777,Supplier 2,Mumbai,21,953,11,68.18491905704117,Pass,0.72,Sea,Route A,103.91624796070496,55474.29,46029.55,True,False,Pending,True
cosmetics,SKU89,2023-12-04,2023-11-07,2023-12-12,2023,Q4,12,Dec,Monday,97.76008558193868,10,134,5924.682566853231,Not_Specified,90,1,27,8,Carrier B,9.92981624527726,Supplier 1,Kolkata,23,370,11,46.60387338164447,Pending,1.91,Rail,Route B,517.4999739290605,13099.85,7175.17,True,False,Pending,False
skincare,SKU90,2023-02-22,2023-01-26,2023-03-01,2023,Q1,2,Feb,Wednesday,13.881913501359142,56,320,9592.633570280312,Non-binary,66,18,96,7,Carrier B,7.674430708112694,Supplier 3,Bangalore,8,585,8,85.67596333579797,Pending,1.22,Rail,Route B,990.0784725058112,4442.21,5150.42,True,False,Pass,True
cosmetics,SKU91,2023-08-05,2023-07-04,2023-08-12,2023,Q3,8,Aug,Saturday,62.11196546396179,90,916,1935.206793507599,Male,98,22,85,7,Carrier B,7.471514084401146,Supplier 4,Delhi,5,207,28,39.772882502339975,Pass,0.63,Rail,Route B,996.7783149506238,56894.56,54959.35,True,False,Pending,True
cosmetics,SKU92,2023-07-07,2023-06-07,2023-07-15,2023,Q3,7,Jul,Friday,47.71423307582023,44,276,2100.1297546259366,Male,90,25,10,8,Carrier B,4.469500026123601,Supplier 2,Mumbai,4,671,29,62.61269039561434,Pass,0.33,Rail,Route B,230.0927825367629,13169.13,11069.0,True,False,Pass,False
haircare,SKU93,2024-01-15,2023-12-07,2024-01-16,2024,Q1,1,Jan,Monday,69.29083100290549,88,114,4531.4021336919095,Not_Specified,63,17,66,1,Carrier C,7.0064320590043945,Supplier 4,Chennai,21,824,20,35.63365234334388,Pending,4.17,Air,Route A,823.5238458881558,7899.15,3367.75,True,False,Fail,True
cosmetics,SKU94,2024-05-07,2024-03-27,2024-05-16,2024,Q2,5,May,Tuesday,3.037688724631414,97,987,7888.356546661873,Not_Specified,77,26,72,9,Carrier B,6.942945942032581,Supplier 2,Delhi,12,908,14,60.38737861486212,Pending,1.46,Rail,Route B,846.6652569866948,2998.2,4890.16,True,False,Pass,True
haircare,SKU95,2023-02-10,2023-01-08,2023-02-19,2023,Q1,2,Feb,Friday,77.90392721944775,65,672,7386.363944048664,Not_Specified,15,14,26,9,Carrier B,8.630338869602754,Supplier 4,Mumbai,18,450,26,58.89068576858998,Pending,1.21,Air,Route A,778.8642413766479,52351.44,44965.08,True,False,Pending,False
cosmetics,SKU96,2023-06-06,2023-05-05,2023-06-09,2023,Q2,6,Jun,Tuesday,24.42313142037338,29,324,7698.424765632117,Non-binary,67,2,32,3,Carrier C,5.352878043996809,Supplier 3,Mumbai,28,648,28,17.80375633139127,Pending,3.87,Road,Route A,188.7421411490569,7913.09,214.67,True,False,Pending,False
haircare,SKU97,2023-01-15,2022-12-15,2023-01-24,2023,Q1,1,Jan,Sunday,3.526111259143416,56,62,4370.916579984536,Male,46,19,4,9,Carrier A,7.904845611209675,Supplier 4,Mumbai,10,535,13,65.76515592636746,Pending,3.38,Road,Route A,540.1324228679678,218.62,4152.3,True,False,Fail,True
skincare,SKU98,2023-03-06,2023-02-01,2023-03-13,2023,Q1,3,Mar,Monday,19.7546048668786,43,913,8525.952559683526,Female,53,1,27,7,Carrier B,1.409801095138073,Supplier 5,Chennai,28,581,9,5.604690864371781,Pending,2.91,Rail,Route A,882.1988635470415,18035.95,9510.0,True,False,Pending,False
haircare,SKU99,2024-06-04,2024-04-23,2024-06-10,2024,Q2,6,Jun,Tuesday,68.51783269927664,17,627,9185.185829181704,Not_Specified,55,8,59,6,Carrier B,1.3110237561206226,Supplier 2,Chennai,29,921,2,38.07289852062604,Pass,0.35,Rail,Route B,210.7430089642461,42960.68,33775.49,True,False,Fail,True
